Loan ID,Customer ID,Loan,Current Loan Amount,Term,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
14dd8831-6af5-400b-83ec-68e61888a048,981165ec-3274-42f5-a3b4-d104041a9ca9,1,445412,0,1167493,8,Home Mortgage,Home Improvements,5214.74,17.2,0,6,1,228190,416746,1,0
4771cc26031a-45db-b5aa-537ea4ba5342,2de017a3-2e01-49cb-a581-08169e83be29,1,262328,0,0,10,Home Mortgage,Debt Consolidation,33295.98,21.1,8,35,0,229976,850784,0,0
4eed4e6a-aa2f-4c91-8651-ce984ee8fb26,5efb2b2b-bf11-4dfd-a572-3761a2694725,1,99999999,0,2231892,8,Own Home,Debt Consolidation,29200.53,14.9,29,18,1,297996,750090,0,0
77598f7b-32e7-4e3b-a6e5-06ba0d98fe8a,e777faab-98ae-45af-9a86-7ce5b33b1011,1,347666,1,806949,3,Own Home,Debt Consolidation,8741.9,12,0,9,0,256329,386958,0,0
d4062e70-befa-4995-8643-a0de73938182,81536ad9-5ccf-4eb8-befb-47a4d608658e,1,176220,0,0,5,Rent,Debt Consolidation,20639.7,6.1,0,15,0,253460,427174,0,0
89d8cb0c-e5c2-4f54-b056-48a645c543dd,4ffe99d3-7f2a-44db-afc1-40943f1f9750,0,206602,0,896857,10,Home Mortgage,Debt Consolidation,16367.74,17.3,0,6,0,215308,272448,0,0
273581de-85d8-4332-81a509b04ce68666,90a75dde-34d5-419c-90dc0e58b04b3e35,1,217646,0,1184194,0,Home Mortgage,Debt Consolidation,10855.08,19.6,10,13,1,122170,272052,1,0
db0dc6e1-77ee-4826-acca-772f9039e1c7,018973c9-e316-4956-b363-67e134fb0931,0,648714,1,0,0,Home Mortgage,Buy House,14806.13,8.2,8,15,0,193306,864204,0,0
8af915d9-9e91-44a0-b5a2-564a45c12089,af534dea-d27e-4fd6-9de8-efaa52a78ec0,1,548746,0,2559110,2,Rent,Debt Consolidation,18660.28,22.6,33,4,0,437171,555038,0,0
0b1c4e3d-bd97-45ce-9622-22732fcdc9a0,235c4a43-dadf-483d-aa44-9d6d77ae4583,1,215952,0,1454735,0,Rent,Debt Consolidation,39277.75,13.9,0,20,0,669560,1021460,0,0
